,Unnamed: 0,composition,mp-id,target,space_group
172,172,Yb(GaS2)2,mp-1104569.cif,2.3,66.0
175,175,ZnCu2SnSe4,mp-1078918.cif,1.44,82.0
176,176,ZrNiSn,mp-30806.cif,0.0,216.0
177,177,BaB6,mp-954.cif,0.15,221.0
178,178,B6P,mp-28395.cif,3.3,166.0
179,179,P2Pd,mp-28266.cif,0.65,15.0
180,180,P2Ru,mp-1413.cif,0.8,58.0
181,181,CrSb2,mp-22498.cif,0.16,58.0
182,182,FeSb2,mp-20714.cif,0.17,58.0
183,183,FeSb2,,0.03,34.0
187,187,BN,mp-1639.cif,7.075,216.0
188,188,BN,mp-984.cif,5.278571429,194.0
189,189,MgF2,mp-1249.cif,9.416666667,136.0
190,190,BeO,62732.cif,9.34,186.0
192,192,SmB6,mp-6996.cif,2.4525,221.0
193,193,LaB6,mp-2680.cif,3.026666667,221.0
194,194,Al2O3,151589.cif,4.668571429,167.0
195,195,Y2O3,mp-2652.cif,3.35,206.0
196,196,EuO,mp-21394.cif,1.6114,225.0
198,198,ThO2,mp-643.cif,3.905,225.0
199,199,NiO,mp-19009.cif,2.873333333,225.0
200,200,MgO,157528.cif,5.9,225.0
202,202,NaCl,mp-22862.cif,7.756666667,225.0
205,205,AlAgSe2,mp-14091.cif,2.3775,122.0
207,207,SmS,mp-1269.cif,0.6,225.0
208,208,InAgO2,mp-22660.cif,3.15,166.0
209,209,CeO2,mp-20194.cif,4.455,225.0
210,210,AgCl,mp-22922.cif,3.82,225.0
211,211,LiF,LiF_mp-1138.cif,12.522,225.0
212,212,SrTe,652879.cif,3.0,225.0
213,213,PbI2,mp-22893.cif,1.34,164.0
214,214,PbI2,mp-540789.cif,1.34,166.0
215,215,UO2,mp-1597.cif,1.26,225.0
216,216,MnO,MnO_mp-19006.cif,2.585,225.0
218,218,AgBr,mp-23231.cif,3.0225,225.0
221,221,WSe2,mp-1821.cif,1.3125,194.0
223,223,Al2Se3,,2.725,186.0
224,224,KBr,KBr_mp-23251.cif,6.892857143,225.0
225,225,MnSe,mp-972.cif,0.9,225.0
227,227,EuVO4,mp-22796.cif,2.866666667,141.0
228,228,MnTe,643804.cif,1.243333333,194.0
229,229,NdB6,mp-1929.cif,4.1,221.0
230,230,TeO2,mp-557.cif,2.25,92.0
231,231,La2S3,,2.045,220.0
232,232,AlAs,mp-2172.cif,2.473,216.0
235,235,EuSe,mp-21009.cif,2.296666667,225.0
236,236,KF,mp-463.cif,10.27,225.0
239,239,La2S3,mp-7475.cif,2.186666667,62.0
243,243,MgGeN2,mp-7798.cif,3.933333333,33.0
245,245,KBa3Ga5(Se5Cl)2,,2.63,82.0
246,246,RbBa3Ga5(Se5Cl)2,,2.64,82.0
248,248,CsBa3Ga5(Se5Cl)2,,2.47,82.0
250,250,Te3As2,mp-484.cif,1.137142857,12.0
251,251,MgSiN2,mp-3677.cif,4.525,33.0
252,252,Mg2Ge,mp-408.cif,0.837777778,225.0
253,253,HfSe2,603743.cif,1.665,164.0
254,254,K4Ga4Si19,,0.665,223.0
255,255,BaO,mp-1342.cif,4.2,225.0
256,256,AlCuS2,42124.cif,3.166666667,122.0
257,257,GeAs,mp-9548.cif,1.103333333,12.0
258,258,K3Sb,mp-14017.cif,1.2,194.0
259,259,LiNbO3,mp-3731.cif,3.5,161.0
260,260,LiNbO3,mp-552588.cif,3.875,167.0
269,269,TaS2,mp-1690.cif,0.1,164.0
270,270,TaS2,mp-1984.cif,0.1,194.0
274,274,Zn3As2,mp-1203368.cif,0.93,110.0
275,275,Zn3As2,mp-15700.cif,0.93,137.0
278,278,Te2Mo,24155.cif,1.325,194.0
279,279,HfS2,mp-985829.cif,2.43,164.0
280,280,SmSe,mp-1447.cif,0.7175,225.0
283,283,MoO3,mvc-12752.cif,3.332,62.0
284,284,PdO,mp-1336.cif,1.05,131.0
286,286,Ce2S3,,1.56,220.0
288,288,CdGeP2,CdGeP2_mp-3668.cif,1.5325,122.0
289,289,CdCu2GeS4,mp-13982.cif,1.766666667,31.0
291,291,FeS2,15012.cif,0.95,205.0
292,292,PrF3,mp-2651.cif,5.725,165.0
295,295,Tl2O3,mp-1658.cif,1.825,206.0
297,297,Na2In2SiS6,mp-1190138.cif,2.87,9.0
299,299,ZnSnP2,mp-4175.cif,1.676666667,122.0
300,300,ZrSe2,mp-2076.cif,1.6,164.0
301,301,AgSbS2,,1.792,5.0
302,302,CuN3,mp-504768.cif,4.565,88.0
303,303,Bi2O3,mp-1197128.cif,2.685714286,14.0
304,304,Na2In2GeS6,mp-1190145.cif,2.7935,9.0
305,305,SiAs,mp-1863.cif,1.774,12.0
306,306,BaAg2GeS4,mp-7394.cif,1.84,121.0
308,308,GeAs2,mp-17524.cif,1.31,55.0
309,309,Cd(InS2)2,mp-559200.cif,2.321111111,227.0
312,312,KI,mp-22898.cif,6.036,225.0
313,313,HgCl,mp-22897.cif,3.17,139.0
315,315,DyN,mp-1410.cif,2.483333333,225.0
316,316,EuS,mp-20587.cif,2.0025,225.0
317,317,PtS2,mp-762.cif,0.316666667,164.0
319,319,Zn(InSe2)2,mp-34169.cif,2.183333333,121.0
320,320,MoS2,mp-2815.cif,1.394,194.0
321,321,Na2Cd(GeS3)2,mp-1190146.cif,2.89,9.0
322,322,BaAg2SnS4,41898.cif,1.636666667,23.0
323,323,AlB12,,2.2,92.0
324,324,CaS,619529.cif,5.7,225.0
326,326,As2Ir,mp-15649.cif,0.7,14.0
328,328,TlGaTe2,mp-3785.cif,1.5,140.0
330,330,BaGa2GeSe6,,2.515,146.0
331,331,Bi2S3,mp-22856.cif,1.20875,62.0
332,332,KSbSe2,mp-542642.cif,1.506,2.0
333,333,AlP,mp-1550.cif,2.626666667,216.0
334,334,B,mp-1104251.cif,1.75,166.0
337,337,PbO2,mp-20633.cif,1.725,60.0
338,338,SbRuSe,mp-1102395.cif,0.533333333,14.0
339,339,AlN,AlN_mp-661.cif,5.94,186.0
340,340,GaAgSe2,mp-5518.cif,1.660272727,122.0
341,341,BaAg2SnSe4,mp-569114.cif,0.505,23.0
342,342,LiGaS2,68465.cif,3.92,33.0
344,344,TaTl3S4,mp-7562.cif,2.353333333,217.0
346,346,ZnSb,mp-753.cif,0.5968,61.0
347,347,CdSe,415784.cif,1.789611111,186.0
348,348,CsZn4In5Se12,,1.86,146.0
349,349,Cu2Te,mp-1861.cif,0.997142857,191.0
352,352,K10Co4Sn4S17,,1.555,215.0
354,354,Ag2Se,mp-568936.cif,0.312,19.0
355,355,SrO,181274.cif,5.46,225.0
359,359,Cu3AsSe4,mp-675626.cif,0.65,121.0
360,360,TlSbS2,,1.651428571,225.0
362,362,CdSiP2,620242.cif,2.137142857,122.0
363,363,Cu2Se,Cu2Se_mp-16366.cif,1.3775,225.0
364,364,InN,mp-22205.cif,2.118,186.0
366,366,LiGaSe2,mp-11582.cif,3.345,33.0
367,367,MnO2,mp-510408.cif,0.413333333,136.0
370,370,SiC,mp-567551.cif,3.0615,186.0
371,371,SnSe,50557.cif,0.950384615,62.0
372,372,AlAgO2,mp-11794.cif,3.4,33.0
373,373,AgSbTe2,,0.353777778,225.0
374,374,Ga2Te3,,1.31125,216.0
375,375,LiAsSe2,,1.3,2.0
377,377,MnS,mp-2562.cif,3.0,186.0
378,378,Nb2O5,,3.28,10.0
379,379,SnGe,mp-995181.cif,0.6,156.0
380,380,SnTe,SnTe_mp-1883.cif,0.4,225.0
381,381,TaNO,mp-4165.cif,2.6,14.0
388,388,Cs2Ga2S5,,3.085,15.0
391,391,SnS,651025.cif,1.182444444,62.0
395,395,ZnGeP2,mp-4524.cif,2.115555556,122.0
396,396,BiIO,mp-22987.cif,1.9225,129.0
397,397,Cu2SnSe3,mp-1191849.cif,0.72,9.0
398,398,Cu2SnSe3,,0.72,121.0
399,399,Sb2Se3,mp-672706.cif,1.160416667,62.0
400,400,Cd(InTe2)2,,1.3025,121.0
401,401,SrCu2SnS4,,1.843333333,144.0
402,402,TlInSe2,mp-22232.cif,1.214285714,140.0
403,403,WO3,mp-619461.cif,2.761666667,14.0
404,404,WO3,mp-1197857.cif,2.761666667,2.0
407,407,SiC,mp-11713.cif,2.820333333,160.0
409,409,C,C_mp-66.cif,5.396666667,227.0
410,410,Cd(GaSe2)2,mp-3772.cif,2.362857143,82.0
413,413,PbO2,mp-20725.cif,1.55,136.0
415,415,ZnAs2,mp-7262.cif,0.976666667,14.0
416,416,Sb2S3,mp-2809.cif,1.709,62.0
417,417,ScNb4N3O7,,2.765,136.0
419,419,HgO,mp-1224.cif,2.298,62.0
420,420,PbCl2,mp-23291.cif,3.953333333,62.0
421,421,SrCu2GeS4,,2.586666667,144.0
422,422,InCuSe2,mp-22811.cif,0.948545455,122.0
423,423,La2Se3,,1.835,220.0
424,424,Ga2GePbS6,,2.505,43.0
425,425,SmTe,mp-342.cif,0.485,225.0
428,428,B,mp-570602.cif,1.51,134.0
429,429,Fe2Te3,,0.47,194.0
431,431,V2O5,mp-25279.cif,2.284,59.0
432,432,VO2,mp-1102963.cif,0.57,14.0
433,433,Zn(InS2)2,,2.73,166.0
434,434,CdP4,mp-7904.cif,1.01225,14.0
436,436,ZnCu2SiS4,mp-977414.cif,3.125,31.0
437,437,In2Se3,mp-19907.cif,1.17,160.0
440,440,CdTe,43712.cif,1.498764706,216.0
441,441,Cu2GeS3,mp-15252.cif,0.453333333,9.0
442,442,LiAlB14,mp-8204.cif,1.935,74.0
443,443,NiP2,mp-486.cif,0.615,15.0
444,444,NiS2,mp-2282.cif,0.385,205.0
447,447,Nd2Te3,mp-16380.cif,1.01,62.0
448,448,Tl2Te3,mp-29711.cif,0.595,15.0
451,451,Na2Zn(GeS3)2,mp-1190399.cif,3.145,9.0
452,452,Mg2Sn,Mg2Sn_mp-2343.cif,0.2475,225.0
453,453,SiC,mp-8062.cif,2.336285714,216.0
455,455,CeTaN2O,,1.8,62.0
456,456,CsSmZnSe3,mp-505709.cif,2.53,63.0
457,457,Ta4Cu2O11,,2.65,9.0
458,458,Ta4Cu2O11,,2.65,167.0
459,459,ZnCu2GeS4,mp-1105527.cif,2.1,31.0
460,460,ZnCu2GeS4,61693.cif,2.1,121.0
461,461,CuAgSe2,,2.6,122.0
462,462,AlCuSe2,607098.cif,2.633333333,122.0
467,467,CsK2Sb,mp-581024.cif,1.1,225.0
468,468,KSbS2,mp-11703.cif,1.685,15.0
470,470,MnS,158650.cif,6.1,225.0
471,471,P2Ru,mp-1413.cif,0.933333333,58.0
472,472,S,mp-77.cif,2.5,70.0
473,473,ScNiSb,mp-3432.cif,0.11,216.0
474,474,SrZrS3,23287.cif,0.9,62.0
475,475,TaGaSe2,,2.13,140.0
479,479,Ga2Se3,,1.931666667,216.0
480,480,GeS,38165.cif,1.655,62.0
482,482,Tl2InGaSe4,,1.955,77.0
483,483,In3CuTe5,,1.084333333,112.0
484,484,GeSe2,mp-540625.cif,2.411,14.0
487,487,GaCuTe2,656165.cif,1.135,122.0
490,490,NdTe2,mp-2550.cif,0.39,129.0
493,493,Ag3SbS3,mp-4515.cif,2.128333333,161.0
494,494,GeS2,mp-1197287.cif,3.5125,7.0
495,495,KCu2SbS3,mp-1192531.cif,1.615,2.0
496,496,RbSbS2,200263.cif,2.0375,1.0
499,499,In5AgS8,mp-36751.cif,1.68,216.0
500,500,AgP15,mp-1195243.cif,1.39,2.0
501,501,BaSnO3,27049.cif,3.02,221.0
502,502,Ga2HgSe4,83712.cif,1.886,82.0
504,504,NaSbSe2,,1.296,225.0
506,506,Sb2Te3,Sb2Te3_mp-1201.cif,0.254545455,166.0
507,507,BaF2,mp-1029.cif,9.135,225.0
508,508,Cd4Sb3,,1.2875,7.0
509,509,CdSiAs2,mp-3078.cif,1.526,122.0
512,512,Cu2Se,,1.15,15.0
513,513,Ti2O3,647544.cif,0.0825,167.0
515,515,Fe2O3,mp-542896.cif,2.246666667,33.0
516,516,Fe2O3,mp-1181824.cif,2.246666667,15.0
517,517,Ga2O3,Ga2O3_mp-886.cif,4.47,12.0
518,518,K2Cd3Se4,mp-1198419.cif,2.43,62.0
519,519,Se,mp-14.cif,1.646666667,152.0
521,521,Cs2Ga2Se5,,2.015,15.0
522,522,CsYbZnSe3,mp-573935.cif,2.035,63.0
523,523,InAs,mp-20305.cif,0.367285714,216.0
524,524,AgAsS2,mp-13740.cif,2.192285714,148.0
525,525,InAgS2,28750.cif,1.94,122.0
526,526,Bi2Te3,mp-34202.cif,0.1525,166.0
527,527,CoAs3,mp-452.cif,0.21,204.0
528,528,CsYZnSe3,mp-574620.cif,2.35,63.0
530,530,FeS2,mp-1522.cif,0.89,58.0
531,531,FeSb2,,0.11,34.0
532,532,Si,60388.cif,1.16,227.0
533,533,ZnSe,652222.cif,2.676,216.0
535,535,Ag2SnSe3,,0.773333333,225.0
536,536,CdGeAs2,mp-4953.cif,0.546,122.0
538,538,PbBr2,mp-28077.cif,3.246666667,62.0
540,540,YNiSb,mp-11520.cif,0.235,216.0
541,541,ZnGeAs2,610627.cif,1.1175,122.0
544,544,Cs3Bi2I9,mp-624214.cif,1.85,194.0
547,547,GaSe,mp-1572.cif,2.026833333,187.0
548,548,GaSe,mp-568128.cif,2.026833333,194.0
549,549,HgS,mp-634.cif,2.025,152.0
550,550,P2Ir,mp-10155.cif,1.05,14.0
553,553,K4(ZrSe5)3,,1.86,2.0
554,554,KNa2Sb,mp-15724.cif,1.05,225.0
555,555,Na3Sb,26882.cif,1.075,194.0
556,556,NaAsS2,mp-5942.cif,2.28,14.0
559,559,Pr2Se3,,1.85,220.0
561,561,Rh2O3,mp-542734.cif,0.1,167.0
562,562,SbSI,mp-23007.cif,1.87,62.0
563,563,SnBr2,mp-29862.cif,3.45,62.0
564,564,TlInS2,600863.cif,2.25,15.0
566,566,ZnSiAs2,23707.cif,2.14,122.0
570,570,InS,mp-19795.cif,1.839,58.0
576,576,KBiSe2,,0.64,225.0
577,577,Sb2Os,mp-2695.cif,0.255,58.0
578,578,Cd3P2,mp-2441.cif,0.538444444,137.0
580,580,HgTe,mp-2730.cif,0.06,216.0
581,581,In4Te3,79121.cif,0.46,58.0
582,582,Tl2Te,mp-582753.cif,0.48,15.0
583,583,TlI,mp-23197.cif,2.96,221.0
586,586,Bi2SeO2,mp-552265.cif,0.905,139.0
589,589,CsBiS2,mp-541378.cif,1.4275,14.0
590,590,CsErZnSe3,mp-7155.cif,2.595,63.0
592,592,LiZnN,mp-7575.cif,1.945,216.0
593,593,NaBiSe2,,0.302,225.0
595,595,Sc2Nb(NO)6,,3.325,225.0
599,599,KBiS2,,0.896,225.0
600,600,BiPbClO2,mp-23084.cif,2.48,63.0
601,601,Th2GeSe2,,1.95,130.0
603,603,As,mp-11.cif,1.216666667,166.0
605,605,Ge(Bi3O5)4,mp-23352.cif,3.225,197.0
609,609,CuSbS2,mp-4468.cif,1.4,62.0
610,610,GeTe,mp-1172873.cif,0.116666667,160.0
612,612,Ga2HgS4,67220.cif,2.82,82.0
614,614,GaP,mp-2490.cif,2.250333333,216.0
617,617,BiSeBr,mp-569707.cif,1.52,62.0
619,619,Cd(GaS2)2,106362.cif,3.424,82.0
620,620,CsSb,mp-573514.cif,0.623333333,19.0
622,622,LaCuSO,mp-6088.cif,3.12,129.0
623,623,PbN6,mp-620058.cif,3.0,33.0
624,624,GdTlSe2,mp-569393.cif,0.47,166.0
626,626,GaTe,mp-10009.cif,1.677,194.0
627,627,GaTe,mp-542812.cif,1.677,12.0
628,628,Ag3AsSe3,mp-5145.cif,2.0835,161.0
630,630,BaGa2GeS6,,3.245,146.0
632,632,CuBiSO,,1.085,129.0
634,634,HgI2,mp-23192.cif,2.126666667,137.0
636,636,LiInS2,mp-1188392.cif,3.573333333,33.0
637,637,LiInSe2,mp-20310.cif,2.84,33.0
638,638,PbS,601032.cif,0.408333333,225.0
639,639,SbSeBr,mp-1209072.cif,1.855,62.0
641,641,TlBr,mp-22875.cif,2.6525,221.0
643,643,AgSbSe2,,0.665,225.0
644,644,CuBiSeO,mp-23116.cif,0.81,129.0
645,645,BiSI,mp-23514.cif,1.57,62.0
646,646,BiSeI,mp-23020.cif,1.31,62.0
647,647,CsSmCdSe3,mp-510062.cif,2.46,63.0
648,648,InSb,InSb_mp-20012.cif,0.173375,216.0
649,649,KH3(SeO3)2,mp-706579.cif,4.89,60.0
654,654,Sb2Pt,mp-562.cif,0.09,205.0
656,656,SiSe2,mp-568264.cif,1.73,72.0
659,659,GaAs,mp-2534.cif,1.427666667,216.0
660,660,BAs,184568.cif,1.455,216.0
661,661,BaCu2GeS4,10006.cif,2.465,144.0
663,663,CsYbMnSe3,mp-1213115.cif,1.596666667,63.0
665,665,GaS,635254.cif,2.528,194.0
666,666,Ge,mp-1197020.cif,0.665,227.0
667,667,LiAsSe2,mp-1078724.cif,1.105,9.0
668,668,PH6NO4,mp-23672.cif,6.805,122.0
672,672,Bi,mp-23152.cif,0.045,166.0
673,673,In2Te,,0.461666667,58.0
674,674,Te,40042.cif,0.333,152.0
675,675,Cs39Ga53(Se16Cl)6,,2.74,166.0
676,676,H6Pt(I3O10)2,,2.12,173.0
677,677,H6Pt(I3O10)2,,2.4,148.0
678,678,CdHg4(AsI2)2,mp-570838.cif,1.45,4.0
679,679,HfHg4(AsCl3)2,mp-1198529.cif,2.47,61.0
682,682,ZrHg4(PCl3)2,mp-1200713.cif,3.22,61.0
684,684,Hg8Bi3As4Cl13,,4.3,152.0
687,687,H25PbI7N10,,2.34,176.0
690,690,Ga4SbH20(S2N)5,,2.3,198.0
692,692,B2Mo(PbO2)6,mp-1196917.cif,2.9,63.0
694,694,Ag2Mo(I2O7)2,mp-1203404.cif,3.06,15.0
695,695,VAg(IO4)2,mp-1198619.cif,2.24,56.0
698,698,CdAg2(PS3)2,,2.49,15.0
699,699,Ga2Si(AgS3)2,,2.35,122.0
701,701,Ag2GeS3,mp-9900.cif,1.98,36.0
705,705,NbAg2(PS4)2,mp-554336.cif,2.02,62.0
707,707,Ag2PdO2,mp-5495.cif,0.18,71.0
708,708,Ag2S,,1.03,229.0
709,709,Ag2S,mp-1102900.cif,0.87,14.0
711,711,Ag2SnTe3,,0.06,122.0
712,712,Ag2Te,mp-1592.cif,0.7,14.0
716,716,Ba3Ag2(SnS4)2,,2.37,220.0
717,717,Ag5IO6,mp-554648.cif,1.4,167.0
718,718,Ag7AsS6,,1.0,20.0
719,719,Ag7AsSe6,mp-1200563.cif,1.0,198.0
720,720,Ag8GeS6,mp-9770.cif,1.18,33.0
721,721,Ag8GeS6,,1.18,216.0
725,725,AgAsSe2,mp-4483.cif,1.4,166.0
727,727,AgBi(PS3)2,mp-556434.cif,1.7,2.0
729,729,AgBiS2,mp-1172905.cif,0.9,164.0
730,730,AgBiTe2,,0.17,225.0
731,731,AgBiTe2,mp-29656.cif,0.3,166.0
732,732,CdAg2(PS3)2,,2.49,15.0
735,735,Ga2AgPS6,,2.75,9.0
736,736,GaAgGe3Se8,,2.17,43.0
739,739,GaSiAgSe4,,2.33,41.0
740,740,GaAgTe2,mp-4899.cif,1.1,122.0
741,741,AgI,mp-22894.cif,2.82,186.0
742,742,In3AgTe5,,1.06,216.0
743,743,In3AgTe5,,0.68,112.0
744,744,In5AgS8,,1.793,227.0
746,746,In9AgTe14,,1.5,122.0
747,747,AgN3,mp-2247.cif,3.9,72.0
748,748,Nb2AgPS10,mp-554930.cif,1.78,15.0
752,752,AgPd(IO3)3,mp-1193499.cif,1.5,2.0
753,753,AgSO4,mp-1196324.cif,0.18,15.0
754,754,ScAgO2,mp-973185.cif,3.8,166.0
755,755,ScAg(PSe3)2,mp-13383.cif,1.55,163.0
757,757,TlAgSe2,,0.72,162.0
758,758,TlAgTe2,mp-10006.cif,0.1,119.0
759,759,Al2O3,,2.8,227.0
761,761,Al2Te3,,2.5,4.0
762,762,VGa(TeO4)2,mp-1195697.cif,3.0,14.0
765,765,As2O3,mp-1194715.cif,4.0,14.0
768,768,AsS,mp-542604.cif,2.4,14.0
769,769,AsBr3,mp-23317.cif,2.6,19.0
771,771,SbAs,,1.6,166.0
773,773,B4C,mp-571655.cif,0.48,166.0
774,774,B6P,mp-28395.cif,3.3,166.0
775,775,B2O3,,4.89,144.0
776,776,B4C,mp-571655.cif,1.64,166.0
777,777,B6P,mp-28395.cif,3.3,166.0
779,779,BN,mp-2653.cif,3.4,186.0
780,780,BSb,mp-997618.cif,2.6,216.0
781,781,BaV2SeO8,mp-1200210.cif,2.13,62.0
783,783,Ba12In4S19,mp-1229044.cif,2.56,148.0
784,784,Ba3InSe5,,1.7,148.0
785,785,Ba23Ga8(SbS19)2,,2.84,36.0
787,787,Ba2InAgS4,mp-1197611.cif,2.32,14.0
788,788,Ba2GaAsSe5,mp-1195309.cif,1.39,62.0
790,790,Ba2AsS3Cl,,2.8,62.0
791,791,Ba2AsS3I,,2.8,62.0
793,793,Ba2Bi0.667Te1O6,,2.8,225.0
794,794,Ba2GaBiS5,mp-1201906.cif,2.38,62.0
795,795,Ba2InBiS5,mp-864638.cif,1.55,36.0
797,797,Ba2Cd(BO2)6,mp-1190588.cif,4.59,148.0
798,798,Ba2Cr4GeSe10,,0.64,2.0
802,802,Ba2Ga8GeS16,,3.0,186.0
808,808,Ba2ErGaTe5,mp-1105724.cif,1.15,36.0
809,809,Ba2GdGaSe5,mp-1190156.cif,1.87,2.0
811,811,Ba2NdGaSe5,mp-1205363.cif,2.18,2.0
